12865,AngularVelocity,radianPerSecond
12866,AngularAcceleration,radianPerSecondSquared
12871,Voltage,volt
12872,Voltage,volt
12876,VolumeFlowRate,cubicFootPerMinute
12877,Velocity,centimetrePerSecond
12878,SoundPressure,decibel
12880,DataSize,kibibyte
12881,Radioactivity,kilobecquerel
12890,Voltage,millivolt
13122,Energy,megajoule
13360,VolumeFlowRate,millilitrePerSecond
13361,VolumeFlowRate,millilitrePerMinute
13384,Length,micrometre
13387,Current,milliampere
13388,DataSize,mebibyte
13390,Radioactivity,megabecquerel
13391,Capacitance,microfarad
13396,Capacitance,picofarad
13397,MassFlowRate,massPoundPerHour
13625,Concentration,partsPerMillion
13873,Concentration,partsPerBillion
14134,MagneticInduction,gauss
14385,Inductance,henry
16708,DataSize,byte
17476,Angle,degreeOfArc
18226,VolumeFlowRate,gallonPerMinute
18227,VolumeFlowRate,gallonPerMinute
18256,Density,milligramPerCubicMetre
18257,Density,microgramPerCubicMetre
18262,Energy,gigajoule
18509,Velocity,milePerHour
18510,Pressure,millimetresOfMercury
19251,ReactiveEnergy,kilovoltAmpereReactiveHour
19253,ReactivePower,kilovoltAmpereReactive
19506,VolumeFlowRate,litrePerMinute
19779,Mass,microgram
20053,Torque,newtonMetre
20529,Concentration,percent
4272434,Length,astronomicalUnit
4272692,Luminance,candelaPerSquareMetre
4273459,Energy,electronvolt
4274230,Frequency,gigahertz
4274480,Power,gigawatt
4274483,Density,gramPerCubicMetre
4274485,IonizingRadiationDose,gray
4274487,Pressure,hectopascal
4274489,DataSize,bit
4277074,Area,acre
4279624,Charge,ampereHour
4279632,Current,ampere
4279886,TimeSpan,year
4337968,DataRate,bitPerSecond
4338226,Current,kiloampere
4338480,DataSize,gibibit
4338745,Resistance,kiloohm
4339253,MagneticFlux,maxwell
4339256,DataSize,gibibit
4339505,Energy,megaelectronvolt
4339509,Resistance,megaohm
4339512,Voltage,megavolt
4339760,DataRate,gibibitPerSecond
4339764,Current,microampere
4340016,Inductance,microhenry
4340024,TimeSpan,microsecond
4342098,Pressure,bar
4346188,Radioactivity,becquerel
4403504,Capacitance,millifarad
4403507,IonizingRadiationDose,milligray
